ProcessName,SHA256Hash
/sbin/consoletype,1c1db374c04735de3e7c381637deda62b765ab149c303b036f16fff726304ed1
logger,adb9579aed874374315351bb0a2b4be18068eb5e21088479f1ad2e0752554529
cat,31e92f1335b31225b00aba83907a9a98df238affd00876fc9ceb1ea4730e54f7
ipcalc,ad5abc0e083e0e39f7dfe098b21b762f2589a61884e275fd8d52681eb0b053f8
ping,022af706650198de12cf33407f224c432c4c9151c16eeb38f36c9e16894b4946
C:\Windows\Explorer.EXE,85eb79207ffbd85b22196dd2538b6216faba8f98b61ba9b65de377ec2c819d9a
C:\Program Files (x86)\Common Files\Java\Java Update\jucheck.exe,be7f0a449390cb7d91948776eab854b5afdbfcb2adb832129a0aa9d1c3f8854f
C:\Windows\system32\PING.EXE,022af706650198de12cf33407f224c432c4c9151c16eeb38f36c9e16894b4946
C:\Program Files (x86)\Google\Update\1.3.36.102\GoogleCrashHandler64.exe,ac32fb15cd5e2062b3a71f4c66cceeba6d8e95b9e81ef966f254dd695721bd13
hostname,b4c7bb784921da10a1f09d212c9d8596b4bed066cc5d89a4ad56d37b40e6a5d9